2016-02-22 15:23:42,265 [main] INFO  org.eclipse.jetty.server.Server - jetty-8.1.16.v20140903
2016-02-22 15:23:42,321 [main] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:52227
2016-02-22 19:44:22,444 [Framework stop] INFO  o.e.j.server.handler.ContextHandler - stopped o.e.j.s.ServletContextHandler{/wse,null}
2016-02-23 08:19:05,228 [main] INFO  org.eclipse.jetty.server.Server - jetty-8.1.16.v20140903
2016-02-23 08:19:05,287 [main] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:58420
2016-02-23 11:12:47,234 [Framework stop] INFO  o.e.j.server.handler.ContextHandler - stopped o.e.j.s.ServletContextHandler{/wse,null}
2016-02-26 15:33:54,114 [Worker-157] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.springrestful:SpringRESTfull:0.0.1-SNAPSHOT @ /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/pom.xml.
2016-02-26 15:33:55,557 [Worker-153] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:33:55,569 [Worker-153] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:33:55,573 [Worker-153] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:33:55,574 [Worker-153] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:33:55,639 [Worker-157] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringRESTfull/src
2016-02-26 15:33:55,640 [Worker-157] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SpringRESTfull/src/test/java because it overlaps with /SpringRESTfull/src
2016-02-26 15:33:55,895 [Worker-146] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.springrestful:SpringRESTfull:0.0.1-SNAPSHOT @ /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/pom.xml.
2016-02-26 15:33:55,958 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:33:55,959 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:33:55,963 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:33:55,963 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:33:56,425 [Worker-157] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-26 15:33:56,455 [Worker-157] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.springrestful:SpringRESTfull:0.0.1-SNAPSHOT @ /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/pom.xml.
2016-02-26 15:33:56,597 [Worker-157] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringRESTfull/src
2016-02-26 15:33:56,597 [Worker-157] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SpringRESTfull/src/test/java because it overlaps with /SpringRESTfull/src
2016-02-26 15:33:56,850 [Worker-157] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.springrestful:SpringRESTfull:0.0.1-SNAPSHOT @ /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/pom.xml.
2016-02-26 15:33:56,929 [Worker-157] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SpringRESTfull
